label,agent,fixture,run_idx,ok,ms,resp_chars,ramble_count,preamble_count,first_cand,final_cand,stable_choice,tool_called,wallclock_capped
smoke_test,SOC_RED_REAPER_SCRATCH,d1s1_opening.txt,0,True,34842,12034,0,0,P0,P1,False,True,False
baseline_v3_identical,SOC_RED_REAPER_SCRATCH,d3s9_night_ramble.txt,0,True,73989,12032,14,0,,,False,True,False
baseline_v3_identical,SOC_RED_REAPER_SCRATCH,d3s9_night_ramble.txt,1,True,49957,12034,2,0,,,False,True,False
baseline_v3_identical,SOC_RED_REAPER_SCRATCH,d3s9_night_ramble.txt,2,True,109230,12034,11,0,,,False,True,False
baseline_v3_identical,SOC_RED_REAPER_SCRATCH,d3s9_night_ramble.txt,0,True,49908,12034,13,21,"at (20,14)","at (29,3)",False,True,False
baseline_v3_identical,SOC_RED_REAPER_SCRATCH,d3s9_night_ramble.txt,1,True,31354,12034,14,21,"at (28,7)","at (29,7)",False,False,False
baseline_v3_identical,SOC_RED_REAPER_SCRATCH,d3s9_night_ramble.txt,2,True,81910,12034,19,0,"at (19,13)","at (29,3)",False,True,True
baseline_v3_identical,SOC_RED_REAPER_SCRATCH,d3s9_night_ramble.txt,3,True,48973,12034,14,0,"at (19,13)","at (29,8)",False,True,False
baseline_v3_identical,SOC_RED_REAPER_SCRATCH,d3s9_night_ramble.txt,4,True,38673,12034,16,27,"at (19,13)","at (28,7)",False,True,False
variant_a_no_mandatory,SOC_RED_REAPER_SCRATCH,d3s9_night_ramble.txt,0,True,16776,8800,10,8,"at (20,14)","at (20,14)",True,False,False
variant_a_no_mandatory,SOC_RED_REAPER_SCRATCH,d3s9_night_ramble.txt,1,True,78975,12034,22,1,"at (13,5)","at (27,4)",False,True,False
variant_a_no_mandatory,SOC_RED_REAPER_SCRATCH,d3s9_night_ramble.txt,2,True,80012,12034,20,0,"at (19, 13)","at (29, 3)",False,False,True
variant_a_no_mandatory,SOC_RED_REAPER_SCRATCH,d3s9_night_ramble.txt,3,True,52747,12034,27,0,"at (13,5)","at (13,7)",False,True,False
variant_a_no_mandatory,SOC_RED_REAPER_SCRATCH,d3s9_night_ramble.txt,4,True,46548,12034,18,13,,,False,True,False
variant_b_cap_6k,SOC_RED_REAPER_SCRATCH,d3s9_night_ramble.txt,0,True,30759,6033,9,12,"at (19,13)","at (13,5)",False,False,False
variant_b_cap_6k,SOC_RED_REAPER_SCRATCH,d3s9_night_ramble.txt,1,True,42094,6033,12,3,"at (28,7)","at (29,3)",False,False,False
variant_b_cap_6k,SOC_RED_REAPER_SCRATCH,d3s9_night_ramble.txt,2,True,68536,6032,8,9,"at (28,7)","at (29,3)",False,True,False
variant_b_cap_6k,SOC_RED_REAPER_SCRATCH,d3s9_night_ramble.txt,3,True,61262,6033,8,5,"at (20,14)","at (29,3)",False,True,False
variant_b_cap_6k,SOC_RED_REAPER_SCRATCH,d3s9_night_ramble.txt,4,True,62042,6033,8,9,"at (10,7)","at (29,3)",False,True,False
variant_c_cap_10k,SOC_RED_REAPER_SCRATCH,d3s9_night_ramble.txt,0,True,58500,10032,12,14,"at (13,5)","at (29,3)",False,True,False
variant_c_cap_10k,SOC_RED_REAPER_SCRATCH,d3s9_night_ramble.txt,1,True,83353,10034,12,18,"at (22,16)","at (29,7)",False,True,True
variant_c_cap_10k,SOC_RED_REAPER_SCRATCH,d3s9_night_ramble.txt,2,True,60805,10034,11,16,"at (20,14)","at (27,4)",False,True,False
variant_c_cap_10k,SOC_RED_REAPER_SCRATCH,d3s9_night_ramble.txt,3,True,80651,10034,14,0,"at (19,13)","at (29,8)",False,True,True
variant_c_cap_10k,SOC_RED_REAPER_SCRATCH,d3s9_night_ramble.txt,4,True,78577,10034,15,0,"at (28,7)","drop (29,5)",False,True,False
variant_b_cap_6k,SOC_RED_REAPER_SCRATCH,d7s26_final_night.txt,0,True,37570,6033,9,10,"at (28,7)","at (30,1)",False,True,False
variant_b_cap_6k,SOC_RED_REAPER_SCRATCH,d7s26_final_night.txt,1,True,23648,6033,8,5,"at (30,1)","at (30,1)",True,False,False
variant_b_cap_6k,SOC_RED_REAPER_SCRATCH,d7s26_final_night.txt,2,True,38380,6033,1,1,"at (28,7)","at (20,25)",False,False,False
variant_b_cap_6k,SOC_RED_REAPER_SCRATCH,d7s26_final_night.txt,3,True,74033,6033,1,3,"at (16,21)","at (20,24)",False,True,False
variant_b_cap_6k,SOC_RED_REAPER_SCRATCH,d7s26_final_night.txt,4,True,68571,6033,2,15,"at (28,7)","at (22,24)",False,True,False
baseline_v3_identical,SOC_RED_REAPER_SCRATCH,d7s26_final_night.txt,0,True,61354,12034,26,17,"at (28,7)","at (30,1)",False,True,False
baseline_v3_identical,SOC_RED_REAPER_SCRATCH,d7s26_final_night.txt,1,True,20310,10354,2,14,"at (30,1)","at (37,4)",False,False,False
baseline_v3_identical,SOC_RED_REAPER_SCRATCH,d7s26_final_night.txt,2,True,53102,12034,5,15,,,False,True,False
baseline_v3_identical,SOC_RED_REAPER_SCRATCH,d7s26_final_night.txt,3,True,62317,12034,15,1,"at (28,7)","at (20,22)",False,True,False
baseline_v3_identical,SOC_RED_REAPER_SCRATCH,d7s26_final_night.txt,4,True,43296,12034,16,20,,,False,False,False
